gx     gy    gz     ax    ay    az
64876  161  64597  65338  14289  63033
64885  173  64582  65472  14418  62487
64870  165  64590  65098  14398  62797
64867  162  64573  405  15067  62973
64869  170  64578  1785  15252  62790
64866  183  64580  2157  15733  62801
64869  182  64572  2392  16552  63077
64878  181  64575  2350  17799  62982
64888  174  64582  2117  18159  61294
64879  180  64588  2138  19245  59291
64865  173  64592  2256  20091  59721
64877  175  64587  2296  20406  60401
64873  181  64589  1717  21949  60297
64877  169  64577  65231  23979  60198
64889  182  64584  64001  24819  61230
64867  185  64572  63619  23359  61514
64876  175  64580  63476  21527  61531
64885  191  64582  63449  19653  61251
64880  180  64580  63419  17747  61435
64875  163  64586  63414  15821  61742
64870  156  64579  62693  13895  61609
64887  176  64582  61972  12333  61168
64862  164  64581  61664  11790  62135
64891  167  64584  61201  12456  62703
64878  169  64596  60354  13171  63730
64874  163  64585  59712  13868  63831
64876  164  64581  59263  14700  63551
64885  170  64583  58737  16522  62153
64868  174  64577  58035  18012  61942
64876  172  64574  56815  19629  63403
64877  165  64586  55787  21279  64076
64874  168  64584  54824  23210  62064
64864  178  64582  54845  24594  60137
64875  174  64582  55906  24970  59517
64875  174  64584  57596  21562  59457
64880  167  64586  59246  18553  59838
64880  182  64579  60007  16913  59888
64895  168  64588  58917  17080  59903
64890  170  64581  58520  16780  59570
64879  167  64582  59114  16689  59272
64867  169  64579  59523  16133  59531
64872  169  64580  60508  15893  60066
64871  178  64584  61061  15119  59975
64884  180  64578  61388  13967  60643
64880  163  64578  62356  12981  62403
64871  164  64595  63930  13169  63017
64881  150  64582  65439  13656  65050
64870  171  64596  425  13972  65032
64886  161  64579  1229  14452  64314
64889  178  64578  1985  15156  63733
64891  166  64585  1804  16645  61581
64883  170  64572  172  19285  61990
64868  174  64590  64334  21531  63687
64877  176  64592  64032  21778  62982
64868  169  64587  65071  21924  61379
64877  173  64570  65453  22263  61640
64880  171  64583  264  22757  62302
64864  165  64579  63991  25588  59686
64875  170  64591  62803  27980  58792
64874  170  64584  63352  26722  58793
64866  161  64589  63707  25911  60194
64881  170  64589  63411  24823  59695
64879  175  64579  62529  25149  58676
64876  173  64585  61071  23777  57937
64864  177  64581  59596  22304  57274
64879  159  64579  59871  20542  58129
64884  159  64582  60496  19733  59088
64880  162  64576  60945  18995  60283
64878  167  64581  60394  17591  61422
64864  177  64572  59360  15218  60841
64874  162  64575  58945  12737  60979
64877  164  64577  58298  9801  62202
64871  172  64587  57782  7903  63199
64880  173  64585  56881  7556  63519
64874  163  64578  56078  8413  62365
64869  163  64571  56565  10389  61909
64881  163  64578  56455  12218  62269
64875  160  64582  56370  14789  62014
64863  168  64583  55944  16650  62359
64872  180  64575  55487  19203  63023
64874  171  64583  54762  22235  62922
64886  186  64582  53899  23950  63507
64866  169  64580  55335  22010  62885
64883  174  64585  57222  20096  59974
64867  167  64587  59160  18170  60077
64873  181  64575  59632  18408  60583
64885  167  64582  59847  19388  61067
64876  170  64585  61895  20124  61201
64878  171  64588  63953  20714  62224
64871  180  64580  64485  20709  63043
64874  167  64581  64358  19218  62711
64874  172  64585  63830  16235  62129
64875  166  64588  63660  14828  60350
64887  175  64581  65156  14717  59388
64873  173  64584  911  15045  60280
64877  163  64590  362  16404  61262
64862  166  64576  65398  18951  61287
64874  164  64587  387  20922  61047
64884  168  64572  1867  20870  60682
64871  177  64590  2266  20337  60452
64883  177  64569  2461  19927  60166
64875  164  64569  2109  19589  60021
64891  164  64591  1663  20668  59887
64873  160  64579  299  22194  59145
64871  166  64585  64531  22465  59264
64891  166  64579  63666  22070  58926
64887  176  64581  62750  21860  58693
64874  171  64580  61412  21492  57873
64872  162  64580  60815  21487  57165
64877  183  64586  59988  21768  57481
64874  166  64587  59781  21045  57215
64879  174  64584  59790  20179  57585
64886  168  64589  60019  19450  58719
64871  177  64591  59643  18130  59391
64874  179  64583  60141  17142  60011
64865  176  64579  60658  16368  59816
64874  175  64579  61029  15546  59834
64869  160  64571  60975  14810  60081
64899  174  64581  60355  14262  60538
64863  173  64587  60638  14602  60993
64871  160  64574  60294  15306  61450
64885  176  64584  58700  15932  61244
64868  171  64579  57456  15952  60798
64877  163  64591  56203  16814  61477
64865  182  64580  53994  17217  62534
64861  168  64583  53353  17186  63614
64872  169  64579  53290  18633  62728
64875  173  64580  52931  22058  60382
64883  165  64594  53600  20528  60564
64878  182  64578  53223  16794  60889
64873  167  64583  54725  13789  60753
64863  173  64578  56667  12930  61204
64884  165  64585  58688  14385  62512
64869  172  64582  59129  16534  63822
64873  174  64582  59306  17853  64546
64869  166  64595  59704  17984  64069
64883  167  64579  60694  17190  63004
64866  174  64579  61806  16986  61869
64877  169  64596  63541  16597  62551
64880  175  64586  64109  16086  63225
64873  171  64584  63387  14578  63663
64875  168  64591  63011  14233  63194
64872  166  64580  63913  14581  63074
64869  179  64578  64696  15113  63650
64883  168  64573  65009  15966  64446
64878  159  64579  65207  17440  64598
64878  175  64593  64998  18652  63404
64882  178  64585  64726  19732  63035
64897  160  64582  64181  20507  62631
64859  179  64572  63884  21218  62811
64882  156  64592  63843  21752  61643
64882  168  64582  63594  22219  61268
64879  180  64590  63787  21676  61585
64880  172  64577  63690  22326  61016
64870  167  64578  62184  24491  57736
64863  180  64581  60783  25116  56585
64871  170  64586  59958  24320  56560
64867  174  64590  60463  23104  57821
64876  176  64575  61177  22360  58719
64883  183  64578  60991  22064  59765
64878  173  64583  60603  22003  60299
64870  173  64581  60129  21563  59163
64855  184  64591  59729  20557  58984
64875  170  64581  59378  19944  59601
64865  171  64588  58927  19191  59923
64878  173  64586  59035  18331  60359
64872  156  64584  59167  17259  61102
64880  181  64585  58992  15729  61672
64862  172  64584  58538  14647  61261
64876  173  64587  58675  13817  61627
64874  153  64577  58666  12544  61573
64875  159  64581  58606  11899  62335
64874  177  64577  57463  12318  62956
64874  157  64574  55916  13358  62655
64873  178  64580  55319  13533  62763
64877  160  64578  55105  13562  62035
64887  160  64593  54946  14402  60930
64878  179  64582  54713  15872  60346
64873  167  64583  54119  16482  60289
64874  169  64579  53806  17298  61457
64884  173  64570  53116  19637  62366
64887  172  64580  54470  19922  63459
64879  162  64582  56355  19174  63397
64874  163  64581  58539  18209  63052
64868  167  64593  59877  18024  62123
64871  165  64580  59613  18068  62095
64877  165  64595  59624  18056  62599
64865  164  64578  60501  18339  62347
64875  167  64586  61342  17339  62235
64887  171  64597  62368  16757  62397
64866  183  64575  62361  15720  64000
64885  173  64591  62647  15576  65376
64868  170  64580  63496  16431  64772
64864  165  64591  65180  16467  64245
64859  167  64579  150  16575  63564
64871  181  64590  540  17037  63992
64885  166  64588  686  17862  63351
64876  164  64584  788  18738  62831
64875  162  64585  810  19636  62986
64873  162  64585  300  20311  63147
64857  174  64588  65535  20076  62729
64867  178  64580  64975  19548  61963
64863  169  64581  64950  19325  60891
64875  167  64574  65051  19416  60537
64867  179  64576  63855  21892  58889
64895  170  64590  62276  24368  57581
64873  164  64573  61411  24482  57635
64884  170  64584  60961  24296  57888
64894  167  64591  60815  23093  58674
64889  178  64583  60918  22329  58807
64869  161  64571  60574  22743  58667
64880  166  64593  59845  22602  59000
64878  165  64590  59239  21498  59595
64884  173  64576  58860  20820  59577
64881  180  64583  58730  19937  59593
64868  169  64586  58752  19016  60392
64880  158  64588  58829  17603  60817
64879  172  64587  58637  16105  61364
64867  170  64590  58640  14699  61453
64886  168  64578  58478  13239  61564
64882  168  64585  58180  11590  62259
64881  169  64576  57790  9383  62305
64866  168  64579  55751  6858  61694
64875  166  64589  53458  7163  60897
64880  163  64579  52301  10204  59692
64879  164  64584  52784  13850  60538
64871  166  64583  54060  17973  59880
64873  174  64580  55552  20142  60792
64873  167  64585  56187  20295  61506
64865  173  64569  54833  19803  62421
64869  173  64579  52409  21487  61864
64862  193  64574  52135  20785  61338
64871  162  64580  53633  19399  59682
64863  167  64584  56053  17742  58939
64863  179  64588  58216  16681  59516
64875  179  64573  58933  17335  60262
64877  176  64579  59209  17768  61023
64875  177  64579  59827  17619  61297
64883  171  64585  60880  17812  61086
64865  180  64586  61946  17316  61791
64885  161  64582  63023  16406  61295
64884  167  64586  62469  15108  61294
64878  184  64588  62752  13690  61336
64856  152  64585  63958  13473  60822
64877  160  64581  64852  13232  61002
64876  163  64581  15  14097  61891
64886  163  64582  65266  16167  64070
64858  160  64585  65510  17036  64196
64876  167  64584  1033  16157  63062
64875  166  64583  1632  16251  62599
64879  171  64594  683  18108  63273
64880  160  64580  64993  20192  63132
64887  170  64582  63822  22261  62941
64879  153  64588  63570  22605  62808
64882  157  64589  63355  21702  61761
64868  159  64580  63103  20805  59550
64881  161  64591  62004  22950  58544
64860  166  64578  60889  25157  57975
64882  176  64589  59595  24919  57507
64886  171  64587  59017  24656  57217
64886  162  64575  59179  23619  58114
64875  164  64583  60479  22427  59469
64881  180  64582  60732  21856  60465
64867  163  64580  60560  21778  60960
64880  171  64579  59734  21417  60170
64883  170  64578  58558  20568  59189
64874  169  64584  59015  19259  58966
64884  175  64581  59759  17913  59163
64882  172  64592  60170  16757  59541
64882  175  64573  60254  15735  59695
64859  173  64583  59592  13852  58887
64867  172  64585  58865  11484  57048
64875  175  64580  58620  8738  56532
64896  175  64584  58353  8561  56662
64872  187  64587  58346  10127  57915
64874  175  64579  58686  11685  60031
64867  169  64583  57083  12317  61162
64870  182  64579  54853  11447  62014
64877  167  64580  52607  11964  62994
64870  180  64591  52280  13850  64480
64874  179  64588  52978  16668  64812
64872  171  64576  53991  18983  63344
64888  172  64590  53959  20926  61889
64879  173  64588  53036  22062  60883
64877  171  64580  53752  19825  59446
64894  161  64591  55641  17750  58172
64874  169  64579  57944  16431  58620
64876  163  64590  58514  16121  58485
64876  155  64586  58305  16150  59071
64876  166  64586  58135  17090  61180
64875  175  64583  58302  17421  61333
64877  163  64579  59622  18573  60529
64873  170  64567  62634  17948  60202
64885  174  64582  63622  17174  60276
64873  166  64574  63437  15767  61325
64878  167  64577  63694  15166  62408
64883  176  64589  64034  15321  61787
64879  175  64581  457  16511  62678
64873  161  64576  1695  17240  63252
64874  160  64587  1629  17606  63340
64886  159  64584  746  18632  61504
64872  168  64585  16  19742  58736
64888  179  64577  518  19743  55072
64866  165  64574  791  17855  56881
64860  173  64587  886  16754  59055
64889  166  64589  65142  17264  60894
64874  173  64577  63962  18758  61766
64871  167  64573  63269  20074  59271
64878  172  64590  61798  22355  55667
64868  160  64582  60476  23501  54261
64870  185  64580  59501  22634  53016
64882  158  64581  60503  20951  52952
64874  172  64583  61252  20352  53716
64900  180  64587  60816  20243  53200
64873  168  64581  60376  20349  53130
64871  183  64576  59601  20522  52807
64867  171  64575  58930  19590  54489
64865  169  64582  59334  18699  56265
64869  160  64589  59483  18478  56504
64881  169  64583  60058  17661  57340
64873  155  64581  59748  16470  58447
64876  169  64585  59109  14795  59212
64865  160  64581  58118  13327  59440
64873  169  64574  57418  12285  59649
64884  171  64578  57183  11230  60206
64886  161  64580  57606  11479  60647
64882  175  64583  56830  11976  61163
64881  155  64583  55838  12422  61274
64872  151  64581  55395  12099  61525
64887  179  64588  54838  12845  60583
64874  178  64582  54707  15276  59583
64875  153  64584  55137  16696  60144
64871  180  64582  54818  17178  61389
64874  182  64585  53869  18784  60340
64868  160  64585  54001  18821  59488
64881  165  64583  55178  18210  59812
64897  175  64588  56761  17651  61181
64872  171  64576  58162  17730  61553
64884  173  64588  59399  17929  60521
64868  162  64575  59471  18155  59791
64882  168  64578  59640  18266  59396
64873  182  64580  60205  18114  59850
64892  173  64582  60517  17749  59905
64873  173  64588  61032  17597  60456
64882  173  64581  61739  17354  61202
64876  174  64580  62594  16603  62607
64872  169  64581  63213  15888  63550
64888  174  64576  62896  15012  63974
64884  172  64570  63179  15045  62911
64861  167  64574  64361  14493  61003
64873  169  64578  65114  14578  62136
64875  175  64577  65167  15731  62162
64865  173  64582  1227  17394  60563
64889  167  64577  1402  18657  58921
64867  164  64588  1034  18420  60464
64874  177  64583  134  17946  59215
64877  163  64582  64990  17746  58193
64870  177  64588  65083  16744  57654
64878  176  64584  85  16863  56472
64878  177  64592  64597  18248  55306
64880  162  64590  61513  22476  53508
64888  177  64585  59647  24819  53297
64882  164  64581  59117  22771  53734
