gx     gy    gz     ax    ay    az
64878  179  64585  6759  11699  13700
64858  186  64573  7384  12742  14761
64874  171  64592  5669  11768  12936
64861  183  64577  3450  8006  11734
64876  165  64582  4295  7978  11397
64884  178  64584  4346  10507  14272
64878  180  64586  3152  9410  12658
64870  170  64584  2915  9047  12163
64872  169  64591  1928  10189  11676
64875  164  64577  1895  10394  11501
64879  157  64477  390  10627  11379
64887  174  64557  7  11447  9769
64882  172  64578  65322  12732  11017
64879  178  64581  63391  11837  7519
64888  165  64585  62449  12220  6356
64872  167  64576  62129  13971  5207
64873  169  64582  63830  16135  4219
64885  179  64579  65495  17340  5230
64895  166  64582  422  17265  5116
64887  172  64589  64249  15085  2033
64879  172  64587  63695  13378  825
64884  182  64589  62378  13793  575
64877  169  64582  62173  16072  600
64882  162  64586  63712  17822  65469
64873  170  64581  63276  17898  63695
64865  169  64586  63018  18282  62659
64874  171  64586  61811  18048  61692
64882  170  64584  60921  18615  60858
64896  164  64585  61987  19690  59982
64883  168  64587  63473  19426  59773
64866  163  64581  63913  18737  59385
64877  170  64577  63780  18065  59008
64870  176  64578  64207  17627  58715
64870  174  64579  569  18228  58976
64874  173  64590  2704  18433  59670
64876  167  64583  3608  18359  60522
64879  170  64579  3091  17666  61702
64873  170  64586  2622  16217  61363
64880  166  64587  2711  17291  60235
64879  173  64581  3704  17961  59803
64866  171  64575  3458  18285  60426
64875  170  64580  3337  17568  60632
64877  158  64580  3133  17069  61004
64879  171  64579  3285  17068  61495
64876  173  64575  3574  16779  61598
64868  173  64582  2925  18464  60520
64881  175  64593  1040  20547  58880
64880  177  64572  65136  23059  57798
64884  171  64581  64005  26179  56799
64865  170  64587  61742  29950  54974
64881  174  64581  60037  32561  53685
64888  174  64578  60736  32760  52766
64871  176  64576  59598  31541  54906
64890  175  64579  58939  28192  56064
64876  178  64588  59218  25659  56759
64890  173  64586  58536  23807  56160
64879  167  64589  57659  22202  56392
64888  171  64582  56719  19403  59188
64867  175  64573  56840  16158  62093
64866  160  64578  57323  13673  63287
64857  173  64588  57283  11872  63716
64875  160  64581  55963  9576  132
64877  180  64597  54471  8261  384
64885  173  64581  53434  7543  65054
64889  168  64599  54263  7803  168
64874  158  64578  55419  9021  729
64871  166  64590  56841  9683  64997
64880  165  64583  57681  10602  63422
64876  168  64583  57649  11168  63238
64880  167  64582  56737  12193  63065
64882  165  64567  57949  14867  61261
64869  174  64577  60804  16220  59577
64879  169  64583  63140  16810  57137
64882  172  64573  64437  20316  57266
64870  174  64588  64476  22384  56552
64873  179  64570  64308  23877  57449
64873  152  64568  490  25560  60691
64886  170  64571  1673  25821  60478
64890  172  64570  2314  22374  61869
