gx     gy    gz     ax    ay    az
65061  331  64575  58802  19  22039
64863  171  64610  58226  63567  20838
64865  177  64595  61123  63069  19931
64887  173  64580  60749  63370  20154
64703  249  64556  62728  62149  20902
64868  174  64586  64827  62638  16720
64876  175  64583  2854  62959  14237
64881  186  64582  5179  62980  15539
64860  202  64584  6247  63821  17228
64876  271  64578  5544  65351  18305
64866  172  64593  4912  63511  19697
64862  178  64586  2331  62779  16027
64880  188  64565  3500  62225  15357
64879  185  64575  5269  61301  13209
64879  169  64582  5986  62957  14010
64879  165  64580  7177  63682  13210
64879  169  64588  8034  62200  12019
64871  188  64576  9034  61902  11954
64873  175  64591  8971  62651  12382
64896  172  64589  7761  61589  11941
64882  179  64574  8525  61500  11393
64880  161  64594  9466  61403  12281
64898  193  64574  9419  61407  11058
64892  163  64581  9659  61238  10906
64866  166  64590  11050  60774  13050
64871  166  64584  10174  61282  12375
64873  163  64582  8599  61619  10105
64867  168  64589  9028  61657  9303
64872  157  64580  11772  60804  10727
64877  162  64577  12585  60229  9589
64875  155  64571  10839  61044  9501
64879  170  64588  9512  61408  7959
64869  168  64585  11428  62061  5900
64871  166  64573  13832  60853  9124
64868  171  64585  13807  58869  9756
64877  175  64592  10113  60598  6587
64888  173  64586  10685  61854  3895
64880  168  64573  12317  62527  4346
64866  174  64574  13195  60367  7111
64876  179  64595  11136  60166  4696
64891  170  64587  9976  61794  2487
64815  194  64577  10985  62251  1104
64912  206  64629  11307  61298  1179
64869  171  64574  11057  61115  3567
64781  158  64581  10812  63844  61465
64887  166  64572  12530  62169  64146
64872  174  64583  12401  62446  62568
64886  177  64587  12357  62590  60760
64878  177  64586  13074  62290  59481
64867  181  64572  14002  62492  58245
64884  167  64586  13072  62808  56878
64881  164  64583  11868  62903  56935
64885  162  64584  11321  62568  57773
64882  156  64584  10984  62811  56118
64884  175  64579  11080  63299  55172
64876  158  64578  10699  63659  54891
64872  167  64580  10686  63176  55085
64866  159  64578  10974  63021  53729
64882  166  64586  11140  63494  53599
64898  171  64577  10002  64194  52907
64893  167  64579  9261  63513  52388
64827  187  64565  9269  63100  51471
64892  170  64589  9302  62618  51506
64856  175  64596  9169  63221  51874
64866  171  64588  8867  63707  51066
64875  173  64589  8940  63539  50121
64849  148  64579  9663  63444  48916
64833  143  64587  10614  62985  48243
64863  148  64590  11410  62654  48605
64882  153  64596  11064  62102  49116
64873  179  64579  10748  61853  50038
64863  167  64579  9864  62222  50959
64878  179  64583  9777  63179  50724
64886  170  64578  10166  63421  51146
64882  176  64579  11044  62676  51760
64870  167  64593  11196  62555  52265
64884  176  64576  10915  62802  53184
64862  167  64589  10832  62838  53998
64856  162  64579  10994  62958  54569
64882  175  64581  10890  62691  55505
64869  171  64573  10654  62650  56294
64879  175  64591  10714  62911  56801
64860  180  64583  11359  63034  57636
64882  194  64590  12180  62945  60423
64882  178  64592  11462  62712  60416
64868  186  64583  10821  62729  61960
64868  175  64577  11418  62952  62722
64881  167  64581  12473  62494  63821
64875  173  64568  13081  61587  65471
64867  168  64583  13008  62262  444
64881  172  64574  13147  62865  64645
64878  164  64587  12617  63207  895
64874  174  64590  12827  61908  2734
64858  174  64587  13102  61547  2214
64864  186  64584  13633  62027  2881
64872  181  64575  14009  62861  4759
64877  171  64595  13677  63176  4344
64885  173  64589  12321  63257  5449
64891  154  64587  11121  62954  6121
64875  172  64589  10285  63425  6776
64905  158  64590  10382  63189  7303
64914  154  64581  11382  62854  7344
64892  173  64578  10777  63310  7063
64896  150  64589  11044  63575  8683
64899  154  64588  11726  62992  9297
64858  176  64572  11542  62168  10299
64870  174  64585  9662  63206  9620
64884  171  64573  8517  64840  8967
64883  161  64572  9262  65078  9938
64847  168  64570  10444  62338  12161
64882  178  64580  8886  62072  11605
64882  169  64582  7016  63438  11235
64880  168  64589  6679  64443  12653
64878  167  64578  7723  62825  14191
64880  164  64581  7277  61626  15166
64869  169  64575  5404  63255  13410
64885  182  64583  4814  63894  14888
64877  166  64588  5127  63309  15675
64883  186  64575  5088  62544  15232
64874  177  64575  3276  63916  14744
64884  184  64572  1974  64604  16851
64891  158  64584  4760  63531  18761
64874  197  64592  6660  62342  21195
64877  159  64580  3634  62583  23054
64888  172  64580  65500  62684  24678
64884  154  64587  63744  63825  22739
64878  184  64584  63251  64917  15163
64876  172  64570  62129  65151  17685
64881  166  64583  65147  64234  18443
64881  167  64583  1484  63150  16640
64873  167  64576  2347  63920  17107
64878  170  64586  2228  64367  16940
64870  170  64582  2514  64934  17174
64878  181  64585  2908  65235  16762
64871  162  64582  3882  198  15567
64868  173  64571  4724  64823  16117
64872  175  64589  5213  64299  16397
64875  163  64587  5783  63820  16062
64868  172  64586  5605  64043  15844
64893  169  64586  5022  63787  16426
64878  177  64599  5288  63076  15351
64885  165  64582  6155  62840  15085
64875  156  64582  7301  62882  14990
64879  175  64580  8348  62351  15371
64858  164  64577  7498  62169  14804
64867  156  64589  6825  62275  15035
64868  179  64579  6614  62103  15712
64887  170  64575  6121  62232  14882
64874  176  64580  6570  61999  13935
64880  167  64581  7085  61865  13666
64877  173  64579  7471  61762  13744
64869  160  64579  7332  61753  13020
64880  193  64576  7139  61584  11656
64875  162  64580  7370  60710  11843
64873  164  64587  6735  61258  12187
64878  174  64580  7086  61454  11925
64882  167  64576  8387  61346  10319
64871  179  64586  9800  61083  9560
64883  175  64581  9326  61062  10335
64875  169  64583  8752  61344  9914
64878  173  64577  9933  62087  8924
64888  171  64600  11558  61732  8906
64868  172  64592  11800  61810  7689
64887  175  64596  11507  61367  6464
64905  170  64570  11719  61946  5013
64888  175  64585  11734  62199  6112
64879  180  64565  11933  61531  4460
64872  172  64578  10741  62444  3041
64869  164  64585  10213  62484  2699
64876  171  64584  10611  62187  1467
64870  180  64588  10925  62960  25
64883  177  64581  11535  62645  64262
64871  174  64577  11813  61721  63347
64885  168  64578  12542  61224  61621
64884  171  64573  12873  61673  59474
64879  169  64583  12690  62489  58074
64888  173  64593  12194  62541  56743
64878  160  64585  12066  62235  55822
64879  163  64578  12555  61597  54442
64874  167  64583  13009  61669  54713
64861  164  64598  12026  61734  56091
64866  162  64542  10146  60827  54460
64871  161  64567  9812  62578  53121
64880  166  64580  8755  62552  52737
64880  168  64580  8729  61999  53513
64773  209  64593  9470  59636  51135
64874  163  64576  10154  61614  52730
64875  187  64573  9261  62502  51830
64874  173  64585  6947  63500  51678
64878  143  64585  8049  62684  50843
64913  173  64593  9464  62285  48909
64807  173  64581  9327  63040  49432
64914  184  64585  8755  63571  51169
64871  152  64579  8316  63813  51063
64867  168  64583  8764  62771  47559
64879  167  64576  9175  62912  45897
64876  178  64590  8911  63547  47240
64876  175  64590  9122  62960  48628
64876  173  64580  10206  62748  49056
64897  161  64589  9526  63231  48908
64904  122  64561  9457  62799  50032
64886  176  64580  8928  63510  51679
64886  167  64579  9410  62886  52142
64875  172  64591  10158  62564  51904
64876  170  64581  10581  62431  52148
64878  157  64592  9974  63486  53207
64883  157  64583  9775  63094  54646
64879  165  64578  10862  62355  56151
64888  160  64586  11928  62125  56441
64892  162  64583  12142  62254  56628
64868  169  64576  11711  62081  57976
64879  163  64580  10803  62434  58552
64888  154  64588  10926  63300  59285
64875  167  64584  11950  62682  61212
64878  164  64572  12487  62480  64714
64877  177  64591  12271  62488  1102
64871  162  64586  11614  62847  327
64879  170  64588  12241  63541  872
64868  186  64584  12711  62961  2002
64883  166  64587  12357  62475  3709
64864  182  64590  12484  63043  3823
64854  164  64586  13187  62609  4982
64886  193  64586  12443  62204  5693
64889  165  64582  13291  62181  6808
64859  146  64581  12029  63206  5076
64889  176  64582  11815  64432  6988
64855  174  64576  11099  63787  6957
64884  176  64576  10472  64102  8575
64882  169  64571  9718  64327  7491
64879  165  64582  9788  64610  8560
64882  169  64573  10714  64249  9193
64869  179  64577  11844  62653  11011
64862  167  64594  10681  63034  10659
64881  169  64579  7929  64409  9490
64866  183  64572  7341  64973  11412
64870  162  64577  9727  63072  12497
64893  178  64586  9762  62255  11505
64872  162  64596  7596  63678  10425
64868  181  64575  6237  64335  11848
64873  180  64577  8241  63204  13325
64874  177  64582  8812  62316  12714
64881  169  64581  5794  63057  11306
64879  176  64572  3069  65341  13535
64888  175  64583  6113  64067  15719
64881  172  64580  7189  63376  15225
64850  171  64579  4773  63847  11904
64892  175  64588  1631  65350  14913
64858  175  64574  4089  64879  18094
64884  163  64583  6660  64251  19745
64901  175  64580  6731  63413  22370
64872  171  64579  3123  63055  31215
64863  167  64594  161  62884  27824
64877  164  64576  63275  64363  14324
64879  170  64595  61425  100  10714
64877  172  64569  59089  65075  19036
64867  170  64575  61878  65072  23226
64890  170  64584  64692  64091  21108
64869  175  64593  64907  64577  17435
64879  182  64587  125  64593  17571
64875  181  64585  2177  64985  16605
64870  157  64584  3549  111  15996
64888  171  64594  4349  65168  14998
64870  159  64580  7008  64752  16089
64872  167  64575  6081  64718  16461
64874  174  64583  3695  65063  17937
64874  169  64576  3835  64258  16925
64860  168  64575  5384  63701  15962
64875  172  64572  5619  63864  15253
64880  177  64591  6600  64229  13720
