gx     gy    gz     ax    ay    az
64874  153  64579  64670  4340  14783
64884  174  64568  64371  4664  15842
64883  179  64573  65236  4314  13974
64882  165  64585  157  3992  11732
64884  158  64577  65273  3295  11846
64868  159  64580  64463  3202  13034
64871  163  64572  64324  3131  12272
64863  179  64563  233  4580  11106
64875  164  64571  1600  5438  9687
64879  166  64559  2232  5002  9231
64890  184  64578  1444  4495  8957
64880  172  64566  1313  4780  9157
64882  180  64569  1398  6471  8086
64873  175  64567  1425  8580  7338
64876  182  64566  1429  9012  5833
64881  174  64582  1226  9296  3995
64861  181  64566  721  9815  3229
64874  173  64580  1583  12932  3562
64874  173  64571  3226  16613  3332
64891  166  64575  4613  18834  463
64880  174  64571  6305  19081  61365
64882  170  64577  6308  19339  59410
64877  168  64580  5567  20224  60522
64886  174  64569  4112  21693  62307
64872  182  64573  4420  24837  63633
64890  166  64582  3888  25997  61476
64872  166  64584  2399  26146  60536
64875  180  64573  1126  24191  61324
64882  176  64584  64812  23098  61290
64892  176  64575  62615  23101  58563
64880  168  64590  62332  22548  57422
64881  170  64576  62395  21911  58470
64884  170  64581  62363  22224  58324
64875  176  64574  62606  23639  58622
64869  184  64576  62844  24091  58892
64880  168  64570  62866  24916  58598
64874  172  64576  63045  26144  57684
64882  172  64579  63793  26148  57122
64880  173  64572  64436  25644  56654
64884  171  64568  137  24535  58132
64874  165  64577  17  23708  58531
64886  161  64570  64960  23615  58177
64879  171  64579  65487  23011  57764
64883  161  64573  947  21172  58111
64858  174  64572  2357  19226  59094
64878  169  64566  3350  17685  60562
64869  179  64574  3455  16577  61773
64876  165  64580  2797  16432  63101
64884  165  64572  2087  16930  62564
64880  169  64571  840  17392  60828
64879  182  64570  64502  17532  59684
64875  167  64572  62333  18028  58455
64875  177  64564  60802  18724  59088
64885  186  64564  60276  18801  58274
64877  176  64577  60751  19256  57370
64873  171  64568  61863  20456  58372
64880  183  64577  61644  20375  60241
64877  182  64574  60243  20141  62429
64878  183  64568  59224  19334  62946
64880  171  64579  59053  17945  61739
64878  171  64571  59379  18484  60780
64879  173  64573  60236  18956  60936
64863  163  64584  61086  18269  61455
64888  157  64573  61069  17152  62402
64880  162  64570  60824  16347  62484
64884  165  64580  60533  15593  62532
64881  159  64565  60546  15690  62606
64867  169  64582  61349  16168  62899
64876  163  64582  62675  15498  63048
64890  174  64579  63001  15910  62596
64889  172  64575  62337  17464  61722
64873  167  64566  59489  21337  61657
64864  165  64583  58175  19537  64691
64887  155  64583  58430  14928  1116
64886  172  64569  59725  14104  65237
64889  166  64582  60707  14926  63264
64871  165  64582  60727  15637  62567
64868  172  64578  60037  15327  62506
64893  176  64567  58949  15695  64444
64870  169  64581  58919  14208  60930
64893  176  64580  59460  16154  58976
64866  169  64580  60305  16325  58726
64880  171  64585  61499  17448  58592
64885  176  64570  62917  18344  60399
64864  174  64578  63484  18798  61174
64878  176  64583  63624  18342  61577
64878  171  64578  63598  17607  61762
64878  164  64575  63028  17354  62017
64875  167  64566  62570  16696  60729
64883  184  64576  62744  16325  59866
64866  167  64577  62937  16514  59665
64880  174  64576  62491  16699  59594
