gx     gy    gz     ax    ay    az
64880  169  64583  1649  17980  62151
64879  175  64584  1587  18114  62406
64888  169  64574  993  18485  62660
64875  181  64582  981  19455  62106
64865  181  64583  984  20053  61394
64879  179  64583  621  20447  61210
64873  158  64584  65331  20770  61059
64883  175  64592  64498  21832  60684
64880  176  64576  64636  23390  61417
64877  171  64579  64156  24105  60333
64865  169  64573  65462  22281  61506
64881  165  64588  495  18735  62359
64886  169  64584  326  15724  61806
64879  178  64584  87  14300  61349
64867  186  64587  65085  13768  61111
64871  174  64586  64890  13011  61208
64880  186  64573  64295  14469  60096
64871  187  64577  65191  16603  60077
64876  166  64593  64231  16784  60950
64875  181  64575  63226  15848  62434
64877  181  64582  63570  15830  63259
64862  165  64576  64406  15013  63159
64882  179  64584  65366  13750  63079
64867  178  64590  26  12731  62984
64865  187  64571  217  12573  63273
64879  167  64571  814  11981  62905
64889  187  64585  648  11586  62281
64869  180  64585  587  11655  61991
64878  167  64578  572  12089  62385
64876  162  64579  346  12852  62810
64865  171  64577  1039  14326  63149
64888  168  64589  1412  14962  63506
64874  166  64581  1620  16393  62240
64874  172  64584  1942  18277  61440
64871  180  64583  3487  21342  60878
64885  163  64576  3374  22091  62987
64880  173  64584  1300  21156  63237
64883  181  64572  505  19828  62643
64877  179  64579  613  18618  60995
64875  168  64577  659  20162  58728
64866  171  64588  1337  20928  60082
64876  174  64574  1847  20523  59956
64873  176  64584  2576  21532  60316
64891  170  64580  2723  22317  60308
64887  163  64593  2782  22149  60352
64871  167  64571  2808  21590  60145
64882  163  64581  2502  20134  59524
64878  168  64590  1757  18023  59723
64885  161  64590  632  15800  58700
64876  166  64575  68  14570  60464
64870  174  64575  64513  13791  61384
64867  178  64575  64429  13255  62817
64874  167  64577  64353  12214  63076
64851  158  64586  64000  11007  63235
64876  166  64575  63757  10486  63066
64860  169  64582  63262  10822  62881
64876  166  64575  62948  11524  62673
64882  180  64576  62690  12773  63660
64877  179  64583  62287  14007  62543
64879  173  64575  61561  15319  61055
64883  177  64581  61112  17041  60768
64880  169  64580  61175  20223  61648
64866  170  64582  61477  21745  62217
64871  176  64569  62267  22339  62736
64883  179  64573  63611  24416  62004
64884  172  64574  63396  25629  62632
64884  168  64584  62718  22673  64305
64872  170  64586  63010  18339  64073
64867  169  64575  64332  14877  63832
64861  175  64579  64610  13308  63785
64886  168  64576  64778  14476  63661
64866  166  64570  64868  15205  63907
64871  157  64577  64566  15969  64025
64870  167  64585  64941  17214  65485
64889  162  64572  65408  17323  931
64869  175  64588  295  15687  1722
64875  180  64571  233  13119  1280
64879  167  64580  65063  11239  214
64864  167  64587  216  11354  65488
64865  155  64589  796  11563  175
64879  165  64585  969  11932  126
64881  152  64584  661  11985  64602
64885  165  64587  773  12406  63639
64879  165  64582  1310  12602  63322
64877  168  64578  1607  14390  63782
64864  161  64578  1230  16545  64476
64860  162  64580  963  19210  64828
64900  180  64573  2373  21973  64704
64872  173  64584  3384  23034  64226
64868  167  64575  3350  23728  63540
64875  167  64583  3156  24410  62836
64865  180  64586  1480  25973  61369
64876  177  64590  432  26679  61279
64882  172  64582  660  26273  62054
64878  178  64578  1616  25661  62635
64877  164  64576  1951  24678  62452
64884  168  64567  888  23333  61988
64874  176  64574  65346  22318  60734
64872  174  64577  64756  21447  59905
64873  177  64574  63991  19876  59977
64875  173  64570  63688  17764  60575
64878  168  64578  63561  15520  61181
64854  159  64575  63696  14019  61970
64873  167  64573  63958  12772  62898
64885  166  64585  63826  11815  63767
64878  169  64584  63430  10996  63985
64884  172  64585  62962  10072  63154
64874  161  64575  62686  9870  63534
64864  175  64573  62747  9523  63338
64871  160  64572  62789  9485  63054
64880  171  64570  62530  10519  62498
64884  165  64577  62601  12355  61948
64874  172  64585  62550  14647  61302
64864  168  64574  61763  18082  61041
64882  178  64578  61043  19871  61619
64862  170  64574  60574  20891  61420
64861  172  64598  60812  20004  61068
64889  168  64582  62093  20487  62292
64882  164  64582  61994  22141  64495
64883  174  64575  63058  18428  1022
64863  176  64570  62829  17855  65455
64884  173  64579  61264  17926  62780
64881  178  64569  60985  18357  60703
64868  173  64574  62393  19678  59063
