gx     gy    gz     ax    ay    az
64867  160  64578  1440  16525  61415
64878  175  64583  1192  15535  60086
64870  172  64576  830  15743  59318
64867  153  64590  488  16574  57982
64869  163  64573  312  17369  57390
64872  171  64588  1750  17446  57626
64866  183  64582  4149  16911  57817
64871  165  64573  4683  17186  58801
64867  168  64573  2818  17869  58033
64868  177  64577  1910  18769  56347
64871  167  64573  1683  19550  54886
64874  170  64576  3075  20605  54859
64880  175  64576  1555  21015  55272
64887  185  64583  64837  21497  55953
64875  160  64587  63534  20778  57319
64873  163  64564  60950  19957  59512
64861  160  64587  58891  17428  61564
64867  188  64593  57786  15819  61552
64872  168  64577  55907  14619  62362
64861  167  64576  53807  12943  64301
64855  168  64588  53479  9596  527
64884  176  64582  55696  9020  64418
64876  165  64581  58752  8148  63630
64882  182  64582  60830  6372  63359
64885  175  64587  61389  8745  62786
64884  165  64579  60880  15445  57779
64875  176  64572  62477  22085  54464
64877  174  64580  1932  25488  56822
64868  175  64578  4304  28384  55521
64880  175  64581  6640  31705  56315
64894  179  64594  7107  32506  61163
64877  169  64576  9150  29488  62937
64879  162  64573  9647  25850  64062
64871  166  64582  10150  22981  738
64874  166  64580  9367  18674  1829
64888  167  64575  8298  14695  1667
64880  179  64583  7898  13444  479
64876  168  64580  11513  13222  62599
64903  167  64585  14677  13331  62633
64904  172  64594  14290  14079  63935
64884  159  64591  10365  13551  63805
64887  159  64585  5901  11145  61164
64869  163  64575  3759  12654  61284
64876  170  64576  2228  18553  61791
64879  167  64584  62531  22456  61448
64874  161  64594  60303  24945  61563
64861  173  64580  63278  21909  59051
64880  169  64594  61527  20070  60696
64882  178  64580  55994  19084  62923
64708  98  64636  55887  16074  60297
64868  174  64606  56865  14285  59811
64887  183  64589  55311  14853  62238
64878  181  64588  54755  14875  63770
64896  187  64579  54605  14503  65057
64887  182  64575  56098  11459  63045
64890  186  64578  57567  7777  62689
64876  177  64571  57346  7504  65113
64874  176  64577  58845  8918  1189
64880  163  64578  60221  12224  64931
64873  171  64575  59906  14152  63673
64884  171  64574  60613  17820  62003
64884  162  64573  58736  21877  61070
64881  171  64586  59624  24453  58324
64877  170  64584  63826  28695  53624
64867  171  64576  3687  32760  53617
64873  159  64573  6829  32760  58975
64876  165  64574  6966  32760  61451
64870  176  64580  7940  30869  61450
64875  179  64572  10201  26237  60675
64881  170  64591  10388  21511  60742
64859  164  64579  10758  16011  60330
64872  165  64568  13476  12731  61440
64875  170  64589  15839  10846  63690
64880  158  64564  16034  11004  63960
64878  185  64575  12996  12865  63722
64880  173  64581  9015  12793  63059
64870  172  64617  2064  11652  63291
64888  62  64615  7770  19437  57547
64865  172  64592  921  30104  59693
64888  166  64579  60742  31320  60655
64880  172  64587  60648  24072  57609
64875  167  64585  61760  24924  54636
64888  172  64578  60094  25810  61241
64874  175  64590  56942  22486  63212
64878  156  64581  54862  20017  59734
64877  169  64587  55198  17649  59359
64873  171  64576  56277  12254  61294
64872  24  64598  59028  15210  1613
64866  167  64581  57045  4868  599
64878  163  64588  55418  2340  65489
64868  177  64593  53464  1627  1592
64878  177  64585  53715  3976  2985
64888  179  64584  54774  5593  1498
64874  160  64588  56344  9484  64962
64866  162  64596  57695  17296  65227
64874  167  64586  55185  24953  63933
64883  171  64578  59288  25273  62183
64860  174  64580  64950  28962  59365
64888  175  64585  2573  32760  59740
64878  165  64580  3779  31100  61892
64878  176  64576  5070  27024  62405
64889  171  64590  9690  23205  60482
64878  159  64584  14210  20295  58103
64877  165  64577  16893  17519  57683
64880  170  64570  16921  14798  60047
64863  160  64583  19010  11124  61949
64880  170  64585  20964  11643  63446
