gx     gy    gz     ax    ay    az
64882  165  64564  15307  2717  65410
64884  177  64582  14982  1871  65456
64873  173  64583  13906  994  65055
64884  182  64587  13139  252  64843
64878  180  64584  12476  451  64646
64875  167  64579  11871  1044  64164
64896  183  64589  10552  1622  64077
64873  172  64573  7367  1405  56
64870  174  64592  6293  970  18
64884  169  64600  7416  683  65363
64879  168  64596  10349  280  64782
64869  171  64595  13923  156  64796
64869  169  64582  17585  82  64791
64879  156  64584  20895  865  63422
64886  168  64584  23679  2065  62501
64890  173  64579  27035  3822  63344
64883  161  64577  29621  3185  63392
64867  173  64583  32760  3288  1534
64872  167  64575  32760  2804  65461
64886  167  64586  32420  2538  65406
64871  161  64583  31236  3222  86
64888  149  64570  28001  3924  64073
64872  162  64583  22052  3514  64377
64864  164  64588  14960  2856  1109
64872  164  64578  9369  1389  710
64874  161  64587  7309  1369  62976
64870  171  64577  6577  358  60513
64898  179  64582  5216  65198  62046
64875  173  64583  3274  65405  63426
64868  171  64586  2508  64691  63652
64872  181  64574  2428  64699  64284
64878  173  64583  2620  64880  64707
64877  177  64579  2801  65428  63995
64875  183  64590  3443  611  63844
64870  171  64580  4296  1154  63507
64884  179  64580  3753  1295  63509
64894  172  64581  3146  812  63658
64874  171  64592  4865  1102  62671
64883  182  64579  7728  980  61433
64872  173  64598  11892  310  61183
64873  169  64582  15724  65366  62148
64875  166  64576  19028  35  63896
64868  169  64571  18888  63895  4903
64876  168  64581  20195  62804  10217
64877  187  64580  24673  63265  7132
64864  170  64586  26295  237  63657
64872  157  64577  25042  1793  62290
64862  169  64591  20383  3382  690
64883  166  64597  13125  4427  4530
64881  163  64584  14628  3450  487
64874  163  64604  16640  1983  61359
64873  167  64592  14448  381  62275
64879  175  64586  10324  65305  63695
64873  171  64593  7811  504  62974
64879  163  64587  10983  1650  61987
64864  175  64583  13798  2930  61475
64882  166  64582  12319  2143  61511
64876  169  64589  12625  2893  62634
64885  174  64578  19153  2872  59206
64883  157  64579  27669  2909  56886
64882  164  64592  32760  3381  56367
64888  170  64576  32760  2561  57695
64874  168  64588  31984  65347  58178
64883  169  64577  32760  62471  62320
64883  172  64578  31733  60746  4344
64863  177  64584  28880  61641  5988
64868  176  64583  22389  65288  4208
64874  177  64574  16874  2198  979
64870  178  64580  11674  2125  64636
64882  164  64576  7456  1268  63570
64880  162  64585  4986  639  63564
64855  166  64584  4215  235  63436
64874  173  64572  3455  220  64962
64872  137  64592  2633  274  64721
64892  171  64588  1855  65442  64338
64869  164  64591  899  65368  733
64880  159  64586  108  393  2582
64869  157  64584  65514  590  1285
64887  182  64584  682  793  65459
64879  174  64577  1849  1264  64111
64886  172  64583  2728  1262  63255
64865  180  64582  3771  1145  62601
64875  165  64571  5468  1138  61823
64872  158  64586  8789  1318  61006
64868  163  64579  13503  1354  60350
64869  177  64579  17953  1215  59246
64883  175  64571  22282  1752  61959
64867  175  64590  23542  580  1282
64867  168  64591  25859  64679  4057
64866  171  64575  29271  64074  8631
64876  162  64572  31276  64720  8695
64890  165  64580  31979  2115  63147
64873  169  64579  30650  4695  59067
64885  163  64581  22074  4078  63683
64877  167  64577  13685  3224  1234
64877  165  64583  10672  2586  350
64890  177  64591  10383  1071  64651
64884  178  64577  8832  65142  435
64889  168  64571  7148  64438  1560
64864  172  64574  6690  64266  287
64870  166  64580  6821  65064  235
64874  174  64587  5441  407  64466
64884  184  64583  5361  857  63363
64864  166  64586  7125  1148  62965
64880  179  64585  10630  1396  61203
64882  174  64578  17112  1339  59296
64889  171  64587  25105  888  58625
64872  167  64579  32452  583  58009
64884  163  64569  32760  1170  54884
64881  171  64593  32760  43  54659
64874  174  64579  32760  64400  59398
64866  183  64577  32760  62816  63169
64842  125  64582  32760  62629  64888
64881  169  64582  29853  63723  2608
64870  166  64578  21345  1022  3829
64877  179  64582  14166  1643  3937
64855  178  64573  8002  1000  64325
64887  167  64588  5646  462  61062
64876  160  64572  4027  65138  59540
64871  165  64579  2813  64621  60328
64868  169  64594  1652  65015  62385
64871  169  64588  65492  11  64806
64887  173  64581  64114  199  1015
64872  158  64586  64491  45  3356
64886  168  64573  64974  468  4185
64885  161  64590  65254  565  3582
64891  181  64581  538  789  1409
64883  167  64579  1412  1543  65484
64870  180  64584  1670  1760  64882
64893  177  64577  1841  1594  64441
64881  191  64587  2976  1414  63140
64885  186  64575  5859  1485  61733
64880  176  64574  10570  1006  60467
64867  158  64584  16322  130  59598
64875  188  64590  21272  65404  61603
64877  165  64588  23510  400  814
64862  167  64583  25409  785  5862
64877  182  64574  27427  181  11651
64880  174  64572  28706  64654  14326
64864  176  64596  28783  1592  2833
64875  173  64584  31384  3941  55406
64884  158  64576  24934  3648  56282
64866  165  64577  16333  2486  63202
64871  167  64576  14918  1556  61309
64872  178  64582  14356  725  60379
64873  170  64585  11970  281  62904
64884  175  64587  8636  863  65373
64871  171  64588  6344  1391  681
64877  170  64581  6861  647  64630
64882  176  64575  7054  1006  64188
64873  165  64587  7659  665  64439
64872  175  64573  10377  1167  63751
64888  174  64586  15526  1097  63168
64877  174  64581  22636  1499  59100
64873  178  64580  28816  1916  54666
64885  173  64584  31596  1921  55618
64875  161  64577  32760  65461  59113
64882  152  64581  32760  65351  61516
64882  160  64583  32760  64195  61552
64873  166  64581  32760  61786  64207
64880  159  64582  28397  61731  8270
64876  170  64589  17442  63970  9484
64885  164  64583  12897  65343  4394
64890  162  64584  9340  591  63808
64872  156  64587  6313  65221  61426
64876  167  64574  4409  64214  59915
64877  175  64602  3980  64271  59481
64875  169  64584  2855  63924  61333
64883  168  64582  773  64550  63951
64885  165  64580  64820  64999  1277
64877  163  64585  65095  437  2087
64882  166  64591  495  786  3407
64874  172  64582  1236  674  2735
64875  176  64586  1649  980  859
64871  173  64570  2312  1485  64395
64857  157  64580  2313  1730  64059
64881  172  64580  2655  1872  64057
64874  163  64574  2981  1614  63832
64873  174  64595  3412  1498  63430
64866  175  64571  5837  821  62572
64886  172  64587  10450  603  61867
64877  164  64576  17254  1213  61592
64868  171  64580  21070  2028  62917
64863  166  64572  23906  2497  2456
64876  173  64586  26773  2439  9499
64872  186  64571  32500  875  16399
64882  177  64578  32760  1857  9853
64900  177  64567  32760  4518  55908
64884  184  64584  32760  4846  56387
64884  167  64581  24207  3999  64963
64866  167  64578  15221  2866  2565
64889  163  64584  10257  2505  1318
64879  181  64569  7271  782  1094
64878  160  64579  6054  87  64894
64872  169  64592  4976  65429  64240
64876  163  64587  3506  113  64911
64884  173  64581  3792  766  65171
64886  167  64582  4722  1492  64478
64872  158  64589  5979  1785  63704
64867  154  64578  7984  1732  61977
64881  168  64582  11149  1281  60996
64866  170  64582  19723  969  61274
64891  176  64578  29838  65524  60219
64872  164  64579  32760  560  58280
64866  179  64591  32760  1020  56859
64869  178  64575  32760  63582  61221
64875  178  64579  32760  59373  232
64872  163  64572  32760  58971  1438
64866  163  64587  29161  61668  3817
64884  169  64587  22054  65108  3562
64864  173  64593  16403  621  64860
64882  173  64586  12533  520  61773
64868  175  64575  9267  64461  60982
64884  169  64585  6609  64231  61306
64883  172  64588  4442  64619  63462
64884  166  64577  2319  207  1581
64885  173  64574  65260  1322  3500
64865  178  64595  61865  1071  4106
64875  174  64590  61746  1478  3283
64879  172  64582  63552  1150  1823
64878  175  64588  76  777  64841
64878  180  64579  771  746  63190
64885  177  64580  549  1325  63364
64870  174  64586  1147  1664  64003
64868  171  64591  1311  886  64413
64879  169  64581  1697  90  64083
64891  183  64575  2798  65154  63724
64884  162  64579  5901  65254  63640
64889  173  64585  10764  326  63469
64868  155  64600  17338  1710  61565
64883  167  64584  21430  3019  61224
64882  177  64584  26295  3260  1512
64882  170  64590  30848  1455  8099
64893  175  64573  32760  64683  11419
64866  167  64582  32760  73  4339
64878  166  64579  32760  1485  55815
64874  171  64583  32760  3250  52061
64885  173  64575  30006  2845  58895
64882  164  64580  21032  1937  64274
64865  170  64580  13892  1527  566
64877  178  64570  7988  519  1529
64881  174  64586  5065  135  1661
64876  164  64570  2983  632  2192
64866  168  64585  1130  162  1271
64866  170  64593  48  65243  12
64885  176  64583  65106  478  185
64864  177  64584  1111  745  771
64859  176  64575  5272  709  65210
64874  175  64579  9785  153  64368
64872  172  64596  14747  65351  63092
64872  182  64586  21517  65387  61452
64875  167  64567  29485  317  62033
64873  169  64586  32760  64865  62151
64893  170  64569  32760  61953  63087
64861  173  64567  32760  60192  714
64876  177  64571  32760  60182  2561
64867  176  64589  32760  61715  3417
64871  172  64577  29173  63115  4011
64879  173  64571  25344  65289  104
64873  177  64584  19650  846  64360
64892  174  64581  12574  908  64025
64898  178  64575  6786  65381  64700
64878  174  64580  3837  64579  63200
64876  172  64581  3001  64574  62581
64874  159  64589  1975  64175  63684
64881  175  64585  65415  65250  964
64876  166  64584  64449  83  3068
64885  159  64580  64954  973  3479
64864  172  64591  65379  1816  2758
