ired      red
94912   70610
89817   73672
99062   76230
98883   76157
98550   76043
98392   75976
98327   75950
98363   75960
98418   75963
98424   75952
98425   75924
98450   75917
98486   75918
98520   75920
98536   75920
98517   75908
98498   75898
98508   75897
98527   75897
98552   75900
98582   75912
98632   75919
98628   75914
98373   75837
98145   75757
98046   75713
98040   75706
98085   75722
98167   75746
98232   75765
98275   75775
98308   75785
98355   75790
98393   75794
98416   75799
98410   75797
98404   75800
98397   75792
98394   75786
98432   75788
98468   75800
98519   75809
98409   75776
98135   75685
97956   75617
97896   75589
97923   75600
97986   75614
98013   75611
98015   75596
98023   75585
98043   75583
98073   75585
98121   75596
98123   75594
98108   75571
98101   75567
98095   75564
98098   75554
98103   75544
98134   75548
98152   75535
97944   75454
97675   75363
97533   75311
97484   75293
97486   75272
97523   75273
97550   75262
97539   75250
97530   75238
97561   75234
97583   75233
97604   75231
97620   75226
97615   75217
97622   75212
97628   75210
97640   75207
97649   75204
97668   75208
97686   75201
97506   75133
97268   75059
97143   75013
97093   74989
97102   74978
97154   74986
97192   75001
97206   74988
97231   74991
97281   75002
97323   75012
97347   75005
97363   75015
97373   75011
97369   75003
97371   74989
97398   74996
97416   74998
97445   75004
97481   75016
97387   74983
97121   74894
96968   74839
96908   74819
96919   74820
96949   74831
96990   74829
97032   74845
97057   74839
97088   74844
97134   74860
97163   74867
97179   74872
97196   74873
97201   74868
97190   74867
97213   74866
97249   74871
97285   74880
97321   74889
97361   74899
97187   74840
96931   74743
96789   74694
96756   74680
96786   74699
96848   74717
96925   74734
96974   74744
97023   74751
97079   74770
97144   74786
97188   74801
97201   74794
97187   74782
97188   74780
97212   74790
97240   74797
97293   74813
97335   74821
97367   74827
97413   74837
97259   74787
96961   74670
96797   74615
96764   74612
96819   74633
96900   74655
96974   74671
97027   74677
97065   74680
97117   74703
97162   74714
97195   74720
97214   74725
97214   74723
96756   74680
96786   74699
97238   74728
97269   74736
97303   74736
97327   74756
97383   74763
97419   74684
97192   74684
96882   74571
96749   74531
96724   74527
96772   74545
96849   74559
96910   74566
96957   74565
96980   74572
97029   74581
97056   74587
97072   74586
97071   74587
97077   74592
97086   74584
97104   74579
97136   74589
97191   74611
97253   74615
97315   74636
97327   74639
97031   74536
96757   74441
96649   74404
96650   74407
96716   74432
96801   74460
96862   74463
96898   74465
96941   74475
96988   74488
97035   74506
97061   74508
97060   74506
97054   74503
97070   74503
97087   74503
97122   74508
97173   74522
97235   74534
97284   74550
97206   74517
96836   74392
96620   74314
96544   74288
96558   74294
96634   74320
96707   74331
96749   74335
96783   74336
96817   74337
96866   74351
96915   74367
96946   74375
96963   74375
96973   74377
96970   74375
96986   74367
97011   74367
97058   74376
97114   74396
97169   74410
96995   74352
96632   74213
96452   74155
96397   74131
96418   74138
96468   74152
96524   74168
96562   74170
96598   74171
96637   74173
96667   74176
96703   74185
96730   74202
96730   74197
96719   74184
96745   74191
96776   74198
96819   74207
96872   74222
96921   74230
96943   74236
96748   74167
96431   74055
96285   73995
96240   73981
96265   73991
96321   74012
96379   74020
96424   74026
96468   74030
96511   74041
96555   74063
96599   74081
96636   74086
96647   74085
96649   74088
96664   74094
96693   74105
96729   74111
96759   74114
96811   74131
96848   74143
96660   74078
96356   73968
96223   73926
96185   73908
96221   73922
96301   73949
96369   73972
96416   73982
96465   73989
96522   73993
96561   74015
96603   74030
96630   74044
96642   74049
96641   74045
96656   74046
96680   74051
96725   74065
96763   74082
96811   74094
96841   74100
96686   74052
96373   73944
96212   73879
96158   73866
96198   73884
96274   73917
96336   73935
96379   73938
96429   73947
96465   73957
96530   73978
96560   73992
96586   73994
96592   74001
96590   74000
96608   74004
96633   74009
96674   74018
96716   74028
96762   74048
96783   74049
96646   74005
96357   73902
96191   73850
96131   73823
96159   73843
96225   73866
96280   73891
96317   73883
96342   73885
96372   73890
96410   73902
96451   73908
96458   73916
96468   73915
96478   73916
96198   73884
96274   73917
96503   73925
96534   73931
96559   73948
96590   73954
96623   73915
96522   73818
96236   73818
96064   73762
95996   73733
96008   73739
96065   73756
96117   73759
96132   73762
96146   73753
96160   73760
96206   73770
96233   73781
96259   73792
96271   73796
96270   73787
96283   73790
96304   73790
96317   73792
96347   73799
96385   73811
96416   73819
96393   73814
96147   73721
95922   73645
95819   73605
95811   73613
95854   73620
95902   73626
95952   73635
95962   73630
95967   73620
95990   73638
96028   73645
96046   73643
96055   73648
96055   73646
96061   73647
96073   73647
96104   73654
96130   73656
96154   73667
96177   73678
96218   73683
96086   73644
95843   73545
95686   73497
95621   73474
95626   73476
95689   73488
95746   73496
95799   73507
95822   73516
95864   73533
95900   73543
95956   73559
95988   73572
96005   73577
96013   73577
96032   73583
96043   73584
96062   73588
96091   73602
96108   73601
96152   73620
96192   73629
96037   73569
95790   73492
95651   73442
95617   73434
95645   73446
95711   73460
95770   73483
95807   73494
95824   73504
95864   73509
95894   73528
95949   73540
95975   73551
95994   73561
96015   73564
96045   73572
96061   73574
96089   73585
96102   73590
96126   73595
96168   73605
96198   73620
96074   73574
95833   73485
95695   73446
95651   73430
95694   73442
95764   73458
95810   73467
95836   73476
95862   73482
95895   73496
95939   73514
95987   73523
96012   73531
96033   73542
96049   73548
96078   73553
96080   73552
96113   73570
96144   73583
96168   73579
96198   73583
96217   73593
96029   73526
95801   73447
95665   73399
95656   73389
95685   73394
95735   73406
95774   73424
95790   73419
95796   73415
95830   73424
95880   73442
95917   73447
95947   73454
95964   73460
95960   73468
95962   73463
95978   73464
95998   73476
96034   73483
96073   73494
96111   73501
96112   73506
95925   73445
95723   73369
95592   73316
95556   73297
95599   73313
95671   73338
95703   73348
95739   73354
95746   73363
95767   73374
95817   73381
95878   73400
95896   73408
95896   73402
95911   73415
95923   73419
95940   73423
95967   73426
95992   73434
96018   73434
96052   73453
96090   73466
95941   73416
95729   73333
95583   73277
95546   73260
95578   73266
95631   73289
95671   73302
95703   73313
95731   73320
95771   73328
95925   73445
95824   73368
95876   73365
95883   73374
95884   73376
95903   73375
95911   73374
95909   73374
95936   73375
95975   73398
95995   73405
96033   73413
96084   73427
96051   73412
95859   73340
95684   73281
95587   73248
95557   73246
95598   73256
95643   73273
95667   73276
95680   73273
95702   73284
95760   73303
95802   73317
95835   73335
95884   73348
95893   73346
95897   73342
95904   73348
95923   73360
95954   73373
95988   73388
96028   73396
96063   73398
96089   73406
96068   73394
95866   73330
95676   73261
95563   73220
95541   73217
95588   73223
95640   73246
95664   73258
95684   73259
95703   73265
95742   73287
95797   73298
95838   73318
95872   73331
95901   73343
95913   73348
95926   73363
95957   73373
95985   73381
96016   73381
96046   73380
96089   73399
96126   73416
96106   73415
95906   73331
95726   73269
95617   73231
95604   73229
95662   73256
95706   73257
95721   73268
95717   73269
95727   73268
95767   73282
95826   73298
95864   73310
95891   73318
95901   73328
95900   73324
95906   73324
95926   73322
95935   73314
95951   73312
95982   73321
96032   73344
96067   73357
95958   73323
95764   73256
95611   73203
95562   73176
95592   73195
95644   73207
95658   73211
95660   73203
95671   73205
95699   73216
95751   73225
95795   73250
95847   73264
95877   73280
95874   73272
95886   73265
95902   73273
95912   73274
95949   73286
95975   73297
95995   73301
96007   73306
95925   73285
95716   73200
95530   73132
95444   73097
95448   73095
95492   73117
95510   73127
95534   73128
95545   73141
95560   73145
95591   73144
95620   73166
95651   73181
95670   73179
95673   73174
95676   73172
95683   73170
95686   73168
95698   73164
95699   73156
95700   73149
95705   73150
95671   73133
95516   73081
95365   73030
95286   73001
95281   73002
95331   73023
95396   73055
95419   73069
95413   73061
95427   73071
95463   73087
95491   73096
95514   73105
95525   73100
95536   73100
95543   73109
95550   73120
95563   73119
95567   73119
95593   73130
95624   73141
95651   73145
95654   73154
95526   73103
95328   73038
95207   72993
95176   72984
95203   72995
95242   73005
95261   73006
95280   73008
95288   73014
95299   73022
95357   73038
95401   73053
95434   73057
95440   73068
95451   73069
95464   73077
95480   73083
95499   73088
95537   73101
95463   73087
95491   73096
95597   73130
95617   73116
95574   73055
95400   72993
95231   72962
95133   72962
95129   72957
95157   72965
95184   72974
95203   72984
95215   72982
95223   72977
95259   72995
95307   73002
95344   73023
95372   73034
95386   73038
95377   73032
95361   73022
95350   73013
95376   73017
95413   73028
95439   73033
95473   73044
95515   73059
95482   73045
95296   72984
95107   72909
95000   72857
94981   72853
95039   72876
95091   72887
95118   72900
95143   72904
95171   72911
95211   72931
95283   72949
95314   72971
95333   72981
95343   72991
95350   72986
95364   72999
95401   73007
95430   73027
95429   73024
95422   73024
95439   73029
95453   73039
95385   73018
95211   72951
95062   72904
94999   72885
95035   72896
95115   72931
95194   72951
95230   72970
95242   72980
95264   72984
95325   73015
95398   73046
95456   73064
95489   73070
95506   73082
95535   73088
95599   73124
95647   73157
95696   73177
95743   73187
95787   73206
95824   73220
95818   73218
95617   73146
95427   73077
95360   73049
95392   73053
95442   73063
95473   73067
95466   73057
95413   73024
95338   72975
95305   72958
95320   72947
95357   72969
95379   72974
95384   72978
95396   72981
95437   73005
95449   73005
95439   72993
95449   72993
95477   73009
95509   73019
95483   73017
95306   72959
95121   72888
95013   72844
94984   72827
95019   72836
95047   72845
95062   72851
95063   72853
95061   72855
95098   72865
95151   72886
95191   72894
95219   72907
95231   72907
95224   72911
95230   72905
95240   72915
95255   72918
95271   72926
95286   72921
95292   72926
95240   72909
95065   72849
94909   72790
94808   72745
94794   72735
94815   72750
94836   72757
94827   72762
94822   72751
94824   72756
94862   72773
94894   72785
94924   72792
94935   72791
94929   72797
94930   72797
94932   72800
94947   72802
94956   72811
94972   72813
94998   72823
95031   72834
95018   72836
94880   72782
94715   72718
94619   72681
94596   72677
94610   72685
94624   72683
94632   72687
94620   72682
94600   72675
94614   72669
94652   72685
94699   72693
94731   72710
94772   72730
94791   72755
94818   72759
94865   72778
94902   72792
94925   72804
94952   72812
94995   72836
95042   72843
95034   72842
94905   72791
94760   72740
94687   72717
94676   72716
94727   72739
94784   72764
94815   72769
95031   72834
94817   72780
94843   72791
94866   72801
94915   72813
94945   72828
94988   72838
95014   72838
95033   72844
95037   72849
95058   72863
95079   72865
95100   72873
95124   72873
95150   72873
95164   72882
95155   72876
95020   72832
94857   72776
94764   72740
94749   72733
94776   72739
94794   72738
94801   72749
94807   72745
94785   72740
94798   72744
94853   72761
94921   72779
94952   72792
94968   72799
94971   72810
94979   72823
94996   72818
95014   72818
95042   72826
95081   72836
95102   72846
95133   72868
95100   72847
94939   72792
94797   72737
94737   72717
94737   72716
94776   72724
94784   72740
94793   72736
94788   72736
94799   72736
94840   72747
94901   72769
94935   72789
94954   72798
94957   72795
94963   72795
94968   72790
94987   72789
95013   72797
95035   72806
95037   72811
95071   72825
95094   72828
94977   72786
94811   72734
94730   72699
94717   72691
94743   72703
94769   72711
94789   72711
94776   72709
94776   72702
94813   72712
94870   72742
94908   72760
94930   72766
94947   72772
94952   72766
94959   72763
94998   72771
95021   72780
95048   72791
95069   72803
95105   72812
95129   72821
95084   72811
94928   72755
94786   72701
94710   72670
94717   72672
94758   72687
94767   72698
94764   72694
94778   72694
94783   72699
94814   72709
94854   72726
94883   72733
94893   72728
94908   72736
94918   72735
94942   72751
94963   72756
94988   72762
95019   72772
95048   72787
95075   72792
95103   72801
95084   72793
94921   72730
94743   72666
94649   72633
94634   72624
94669   72638
94701   72643
94718   72644
94712   72645
94728   72657
94749   72668
94793   72672
94837   72679
94865   72689
94864   72694
94879   72694
94904   72702
94914   72706
94947   72711
94975   72724
95004   72730
95032   72741
95062   72752
95070   72758
94922   72703
94741   72632
94639   72597
94627   72591
94663   72602
94712   72622
94748   72643
94755   72641
94758   72638
94783   72646
94834   72657
94872   72677
94904   72686
94934   72697
94961   72706
94971   72716
94984   72723
95007   72721
95030   72734
95057   72729
95059   72741
95068   72743
95073   72752
95019   72732
94852   72663
94701   72612
94605   72580
94583   72582
94604   72587
94640   72593
94649   72598
94649   72582
94651   72584
94673   72595
94709   72605
94757   72621
94783   72632
94811   72622
94748   72643
94755   72641
94861   72663
94879   72674
94896   72683
94935   72697
94972   72704
95007   72704
95040   72714
95075   72734
95007   72707
94843   72660
94723   72611
94675   72588
94692   72594
94740   72605
94784   72624
94806   72628
94823   72640
94855   72648
94907   72663
94943   72677
94980   72682
95002   72694
95059   72725
95091   72738
95124   72753
95158   72759
95193   72773
95225   72779
95246   72782
95249   72784
95279   72793
95283   72796
95122   72733
94939   72666
94854   72636
94852   72628
94897   72653
94938   72662
94972   72671
94974   72668
94995   72677
95025   72688
95074   72704
95105   72717
95134   72721
95132   72719
95133   72723
95147   72730
95175   72740
95199   72744
95237   72769
95265   72775
95305   72786
95336   72798
95321   72786
95140   72714
94966   72655
94877   72624
94867   72624
94899   72633
94942   72651
94959   72656
94968   72649
94976   72648
95008   72663
95045   72679
95070   72689
95098   72694
95111   72693
95118   72698
95129   72701
95153   72709
95178   72725
95209   72730
95243   72740
95266   72746
95313   72745
95256   72740
95051   72662
94907   72613
94845   72585
94846   72582
94888   72601
94919   72610
94942   72615
94941   72615
94961   72616
94992   72630
95025   72645
95053   72656
95090   72662
95100   72665
95112   72664
95126   72677
95148   72682
95171   72687
95202   72682
95234   72696
95256   72704
95263   72710
95146   72672
94927   72583
94795   72535
94738   72516
94745   72520
94776   72529
94799   72533
94815   72541
94812   72534
94810   72531
94847   72545
94884   72560
94903   72564
94921   72567
94945   72582
94961   72585
94979   72585
94999   72589
95016   72592
95030   72596
95054   72606
95093   72616
95104   72624
94963   72576
94822   72519
94730   72490
94707   72476
94731   72492
94770   72505
94808   72522
94811   72519
94824   72522
94855   72529
94885   72535
94908   72553
94927   72559
94954   72570
94968   72567
94974   72561
94996   72567
95036   72580
95081   72590
95127   72605
95157   72621
95202   72638
95232   72644
95123   72607
94933   72538
94810   72492
94762   72486
94777   72489
94825   72506
94869   72523
94900   72534
94927   72542
94955   72545
94988   72560
95022   72573
95040   72586
95069   72588
95110   72601
95130   72608
95154   72618
95192   72635
95250   72659
94885   72535
95328   72683
95360   72559
94954   72570
95405   72699
95361   72621
95134   72561
94971   72531
94894   72539
94905   72539
94945   72552
94980   72564
95000   72565
95009   72568
95025   72578
95061   72578
95097   72588
95128   72600
95162   72622
95178   72623
95192   72629
95206   72632
95211   72638
95233   72632
95276   72650
95310   72660
95335   72668
95362   72680
95266   72655
95053   72568
94917   72514
94866   72499
94881   72504
94914   72520
94946   72533
94957   72544
94942   72517
94934   72516
94969   72526
95002   72539
95010   72548
95032   72553
95041   72558
95041   72565
95059   72568
95097   72578
95109   72582
95124   72587
95152   72598
95187   72618
95202   72622
95079   72579
94922   72515
94806   72474
94743   72451
94759   72462
94798   72474
94820   72479
94832   72469
94831   72471
94842   72482
94863   72487
94894   72496
94903   72499
94913   72499
94932   72510
94959   72513
94993   72521
95004   72528
95029   72543
95054   72554
95082   72566
95110   72567
95124   72571
95032   72539
94850   72476
94704   72420
94632   72394
94643   72388
94677   72398
94719   72404
94743   72415
94750   72420
94773   72430
94799   72439
94838   72456
94848   72458
94847   72459
94845   72451
94836   72446
94839   72456
94838   72456
94832   72452
94851   72455
94892   72471
94948   72483
95004   72514
95014   72516
94848   72462
94679   72392
94586   72355
94573   72341
94597   72348
94634   72356
94657   72366
94675   72374
94694   72373
94712   72385
94741   72382
94762   72387
94769   72386
94774   72393
94776   72394
94789   72394
94805   72391
94836   72402
94881   72417
94907   72425
94939   72440
94977   72449
94994   72455
94837   72389
94630   72305
94506   72254
94474   72249
94500   72259
94559   72281
94597   72298
94608   72300
94603   72294
94630   72302
94660   72316
94665   72306
94667   72313
94688   72315
94696   72319
94712   72326
94743   72336
94768   72348
94784   72360
94818   72374
94865   72384
94914   72397
94888   72387
94717   72322
94556   72264
94457   72224
94426   72216
94442   72224
94476   72230
94495   72237
94490   72237
94502   72238
94543   72247
94577   72265
94598   72275
94612   72288
94633   72291
94639   72293
94656   72299
94670   72297
94708   72326
94756   72340
94796   72346
94823   72355
94847   72362
94774   72336
94579   72264
94421   72200
94743   72336
94359   72348
94784   72360
94390   72193
94416   72193
94430   72189
94422   72187
94429   72203
94463   72220
94501   72220
94537   72229
94559   72241
94559   72241
94562   72242
94580   72247
94610   72250
94640   72261
94682   72270
94722   72290
94769   72308
94785   72315
94668   72262
94487   72196
94351   72139
94283   72112
94289   72118
94305   72118
94322   72133
94320   72133
94327   72127
94340   72136
94381   72146
94406   72164
94430   72168
94448   72184
94467   72183
94461   72184
94482   72177
94519   72181
94553   72198
94576   72213
94603   72222
94641   72237
94675   72247
94578   72207
94420   72138
94293   72091
94228   72062
94214   72054
94239   72063
94248   72066
94254   72072
94261   72069
94273   72075
94311   72087
94360   72107
94397   72126
94410   72127
94409   72125
94419   72117
94435   72123
94462   72135
94492   72140
94523   72154
94532   72162
94580   72173
94612   72192
94607   72191
94476   72132
94310   72062
94180   72017
94137   72002
94137   72001
94159   72001
94160   72008
94179   72010
94191   72021
94242   72038
94300   72050
94350   72067
94384   72078
94409   72086
94417   72097
94421   72102
94422   72106
94444   72114
94471   72121
94512   72141
94538   72146
94562   72159
94589   72168
94602   72173
94484   72129
94321   72057
94197   72019
94156   71998
94161   72000
94196   72018
94219   72028
94233   72036
94247   72032
94288   72035
94332   72059
94380   72082
94420   72097
94448   72115
94445   72114
94444   72111
94450   72113
94480   72123
94503   72125
94532   72143
94549   72149
94570   72163
94595   72173
94600   72176
94458   72118
94305   72058
94213   72025
94199   72022
94213   72037
94240   72040
94250   72039
94260   72047
94263   72049
94292   72060
94347   72089
94412   72113
94441   72130
94450   72133
94455   72129
94461   72128
94463   72123
94469   72126
94480   72135
94498   72146
94524   72152
94574   72175
94582   72172
94486   72142
94306   72068
94197   72029
94153   72008
94169   72009
94200   72025
94236   72046
94240   72050
94252   72055
94272   72068
94310   72078
94356   72099
94396   72115
94421   72126
94434   72130
94432   72134
94437   72141
94460   72149
94477   72146
94483   72151
94498   72158
94543   72181
94586   72193
94585   72196
94457   72145
94296   72085
94198   72047
94169   72041
94186   72055
94199   72068
94201   72068
94194   72065
94202   72067
94306   72068
94206   72078
94239   72089
94276   72101
94307   72104
94301   72108
94315   72116
94327   72116
94361   72129
94372   72132
94395   72146
94416   72156
94434   72156
94450   72157
94470   72162
94419   72152
94263   72097
94102   72039
94012   72009
