ired      red
85831   71924
84490   75423
90760   78584
90901   78619
91089   78674
91336   78745
91585   78831
91765   78891
91853   78921
91867   78924
91858   78904
91855   78906
91882   78903
91938   78918
92018   78940
92117   78976
92233   79006
92346   79035
92425   79065
92288   79012
91698   78823
90910   78561
90310   78358
90028   78252
90009   78230
90132   78266
90348   78334
90576   78407
90805   78489
91037   78569
91233   78629
91361   78669
91416   78683
91417   78684
91414   78678
91415   78678
91435   78680
91487   78701
91596   78733
91728   78781
91879   78825
92008   78868
92112   78904
92087   78896
91630   78749
90819   78482
90111   78229
89747   78099
89733   78085
89923   78153
90202   78251
90440   78321
90627   78383
90839   78462
91030   78519
91145   78560
91188   78568
91149   78553
91101   78535
91091   78533
91141   78546
91217   78569
91328   78605
91447   78647
91595   78694
91749   78749
91886   78799
91839   78771
91304   78593
90473   78324
89824   78099
89568   78004
89630   78031
89858   78097
90125   78189
90348   78261
90572   78335
90795   78405
90981   78467
91069   78491
91069   78489
91036   78478
91027   78474
91058   78480
91094   78493
91165   78511
91273   78549
91380   78580
91505   78612
91605   78641
91695   78669
91519   78619
90911   78430
90159   78172
89642   77997
89476   77938
89563   77960
89736   78018
89945   78081
90172   78156
90420   78242
90675   78324
90876   78389
90974   78415
91006   78420
90986   78413
90915   78382
90881   78366
90934   78378
91035   78407
91145   78432
91236   78466
91333   78498
91431   78525
91483   78544
91154   78435
90463   78206
89769   77978
89381   77835
89268   77797
89337   77814
89459   77847
89575   77876
89656   77902
89816   77953
90048   78024
90300   78114
90472   78174
90547   78198
90579   78200
90590   78193
90590   78187
90651   78202
90743   78237
90860   78274
91000   78319
91141   78361
91223   78384
91199   78377
90774   78240
90032   77994
89372   77772
89014   77644
88948   77619
89092   77661
89319   77742
89582   77831
89860   77923
90113   78009
90294   78062
90404   78084
90424   78086
90396   78076
90368   78062
90363   78063
90365   78060
89816   77953
90494   78099
90607   78114
90472   78174
90747   78216
90875   78261
90986   78274
91046   78184
90758   77951
90049   77951
89315   77705
88886   77550
88790   77518
88923   77569
89176   77651
89448   77742
89728   77838
90001   77917
90166   77972
90253   77995
90259   77998
90236   77989
90216   77981
90219   77981
90243   77987
90306   77994
90384   78032
90467   78054
90572   78088
90682   78129
90810   78168
90859   78186
90515   78081
89779   77844
89064   77596
88649   77451
88593   77424
88752   77478
89032   77578
89325   77676
89559   77750
89793   77828
90018   77896
90145   77940
90167   77944
90140   77936
90109   77921
90092   77914
90088   77912
90160   77946
90274   77979
90406   78014
90551   78069
90704   78119
90813   78158
90771   78144
90318   78000
89601   77760
89033   77572
88808   77482
88864   77504
89049   77571
89300   77650
89516   77726
89685   77771
89851   77823
89996   77866
90098   77894
90132   77914
90132   77907
90122   77901
90110   77898
90170   77914
90263   77946
90356   77967
90428   77997
90539   78039
90655   78068
90796   78116
90797   78117
90359   77973
89619   77727
89005   77526
88763   77441
88823   77454
89008   77521
89225   77587
89435   77655
89668   77737
89937   77828
90154   77896
90281   77938
90317   77941
90290   77939
90277   77929
90296   77929
90331   77948
90395   77969
90473   77986
90559   78009
90694   78051
90849   78096
90980   78144
91039   78168
90760   78093
90079   77860
89353   77619
88934   77470
88843   77434
88930   77454
89118   77527
89375   77611
89653   77700
89897   77780
90078   77840
90189   77873
90216   77880
90198   77880
90174   77871
90165   77864
90197   77867
90234   77867
90303   77898
90404   77935
90540   77977
90689   78033
90815   78066
90925   78105
90870   78092
90346   77932
89572   77666
88958   77459
88740   77381
88809   77408
89058   77482
89321   77573
89560   77649
89786   77730
90006   77806
90157   77850
90188   77864
90177   77854
90149   77840
90120   77835
90137   77840
90183   77858
90248   77880
90341   77909
90447   77947
90559   77985
90654   78011
90763   78045
90816   78066
90469   77969
89722   77719
88993   77476
88618   77336
88591   77329
88737   77378
88934   77444
89148   77522
89332   77577
89552   77649
89754   77709
89859   77742
89893   77757
89885   77758
89858   77745
89847   77746
89786   77730
90006   77806
89841   77753
