ired      red
87580   73454
85876   75277
92812   78354
92749   78335
92458   78231
92055   78090
91681   77960
91444   77877
91333   77836
91321   77832
91353   77841
91390   77854
91429   77870
91483   77891
91563   77919
91652   77949
91700   77967
91708   77963
91712   77969
91717   77966
91734   77971
91783   78002
91858   78024
91948   78050
92041   78073
92147   78099
92254   78138
92345   78169
92433   78204
92518   78231
92593   78255
92664   78282
92734   78301
92815   78325
92884   78348
92913   78366
92779   78320
92431   78207
92004   78053
91648   77927
91423   77841
91319   77807
91306   77810
91337   77821
91365   77826
91402   77842
91437   77846
91509   77867
91584   77892
91634   77916
91649   77921
91657   77920
91656   77916
91674   77927
91725   77937
91792   77960
91873   77988
91970   78021
92071   78057
92173   78095
92280   78124
92384   78162
92465   78193
92545   78222
92607   78245
92670   78260
92746   78280
92820   78306
92848   78313
92686   78261
92318   78139
91889   77980
91545   77849
91335   77781
91268   77753
91270   77753
91295   77767
91325   77781
91341   77787
91383   77798
91463   77825
91532   77852
91594   77870
91617   77885
91628   77883
91652   77896
91696   77903
91761   77919
91844   77951
91951   77990
92055   78025
92164   78057
92266   78098
92347   78130
92414   78147
92475   78169
92524   78184
92568   78192
92616   78210
92663   78235
92713   78251
92656   78232
92385   78137
91983   77996
91609   77861
91365   77769
91249   77737
91239   77717
91269   77730
91313   77751
91348   77765
91396   77785
91471   77807
91555   77836
91598   77847
91612   77853
91615   77849
91615   77845
91625   77845
91652   77859
91720   77880
91809   77912
91916   77947
92028   77985
92123   78022
92213   78060
92292   78090
92368   78109
92444   78129
92515   78151
92580   78174
92654   78203
92668   78212
92484   78147
92117   78021
91695   77871
91368   77740
91194   77678
91128   77661
91123   77662
91153   77672
91183   77684
91216   77686
91257   77704
91339   77739
91406   77763
91451   77780
91452   77782
91458   77776
91454   77761
91475   77774
91528   77788
91613   77817
91708   77858
91916   77947
91920   77985
92123   78022
92213   78060
92118   78026
92196   78044
92261   78071
92343   78095
92418   78119
92484   78119
92492   78126
92304   78058
91911   77924
91480   77770
91151   77645
90964   77572
90894   77542
90884   77540
90900   77548
90918   77563
90944   77576
90979   77577
91048   77606
91118   77628
91167   77644
91184   77642
91188   77645
91197   77650
91220   77664
91286   77676
91363   77708
91466   77739
91572   77780
91673   77816
91780   77856
91862   77886
91949   77900
92032   77924
92118   77959
92192   77984
92241   78002
92140   77978
91839   77867
91430   77713
91081   77584
90849   77500
90749   77464
90714   77447
90715   77453
90731   77462
90737   77468
90770   77475
90830   77496
90908   77527
90967   77547
91005   77560
91020   77565
91031   77558
91064   77558
91107   77581
91184   77600
91276   77635
91371   77669
91480   77714
91571   77740
91664   77775
91749   77799
91834   77826
91908   77854
91982   77873
92031   77898
91972   77884
91716   77789
91344   77653
91001   77532
90772   77450
90666   77405
90645   77401
90663   77403
90683   77406
90698   77413
90731   77425
90804   77449
90881   77475
90941   77493
90968   77504
90991   77507
91013   77517
91048   77519
91098   77543
91176   77573
91268   77606
91382   77637
91494   77677
91599   77714
91699   77752
91792   77783
91871   77811
91942   77833
92027   77855
92103   77878
92116   77887
91953   77836
91621   77711
91268   77580
91000   77487
90872   77433
90832   77414
90848   77425
90876   77437
90896   77443
90923   77456
91002   77478
91084   77506
91157   77537
91205   77550
91220   77561
91231   77567
91267   77574
91319   77580
91394   77603
91486   77636
91588   77670
91691   77716
91796   77744
91890   77774
91976   77811
92065   77843
92144   77865
92228   77898
92310   77922
92356   77947
92297   77930
92055   77840
91700   77718
91376   77587
91172   77514
91090   77487
91083   77475
91110   77490
91148   77497
91184   77506
91244   77518
91333   77559
91410   77586
91459   77609
91477   77611
91487   77615
91503   77619
91534   77631
91599   77649
91672   77674
91760   77715
91849   77745
91947   77778
92040   77814
92135   77846
92210   77864
92286   77897
92360   77933
92436   77948
92504   77977
92557   77991
92499   77968
92257   77879
91891   77752
91545   77632
91324   77546
91239   77513
91090   77487
91233   77519
91277   77534
91311   77551
91347   77568
91400   77600
91491   77630
91568   77630
91603   77637
91608   77644
91610   77644
91605   77641
91630   77654
91677   77666
91755   77677
91844   77713
91932   77744
92022   77782
92111   77810
92187   77842
92264   77869
92349   77894
92412   77926
92474   77940
92521   77966
92554   77975
92474   77954
92213   77858
91848   77731
91529   77609
91340   77545
91280   77521
91289   77522
91331   77528
91378   77539
91426   77558
91504   77585
91602   77627
91676   77652
91720   77666
91729   77677
91724   77666
91737   77672
91777   77681
91829   77702
91903   77727
91985   77761
92091   77804
92193   77838
92289   77872
92376   77901
92453   77933
92531   77968
92597   77989
92675   78004
92746   78028
92788   78045
92703   78024
92428   77931
92040   77792
91693   77661
91477   77578
91394   77549
91401   77546
91430   77555
91470   77574
91503   77588
91549   77606
91636   77638
91719   77672
91780   77685
91798   77698
91807   77702
91814   77709
91846   77712
91897   77727
91977   77742
92056   77783
92160   77814
92256   77856
92353   77892
92449   77926
92531   77961
92615   77986
92690   78019
92772   78041
92838   78071
92892   78091
92879   78088
92670   78014
92315   77885
91921   77742
91637   77648
91496   77594
91460   77580
91475   77577
91505   77590
91541   77600
91571   77615
91635   77635
91723   77669
91793   77697
91840   77713
91869   77718
91874   77733
91905   77731
91937   77748
91995   77772
92074   77798
92171   77836
92266   77870
92368   77907
92455   77942
92549   77977
92625   78010
92716   78033
92781   78059
92863   78083
92927   78111
92937   78117
92779   78067
92443   77954
92052   77805
91742   77701
91578   77633
91530   77620
91546   77619
91574   77632
91608   77650
91636   77657
91697   77679
91784   77715
91871   77741
