ired    red
99614   81108
90764   78274
100634   82355
100628   82346
100611   82322
100568   82308
100528   82287
100490   82264
100465   82248
100467   82251
100469   82251
100477   82253
100472   82247
100477   82243
100480   82243
100498   82253
100514   82265
100543   82290
100562   82299
100580   82307
100583   82317
100582   82321
100587   82321
100597   82323
100601   82320
100615   82317
100628   82330
100648   82343
100658   82344
100683   82347
100692   82359
100674   82350
100589   82323
100486   82299
100421   82276
100370   82261
100353   82253
100349   82263
100361   82257
100381   82265
100396   82268
100405   82270
100420   82279
100440   82294
100435   82282
100407   82275
100385   82260
100360   82253
100349   82243
100339   82246
100344   82250
100353   82253
100365   82252
100378   82253
100396   82258
100409   82257
100421   82268
100429   82261
100430   82269
100440   82266
100447   82276
100452   82273
100461   82281
100463   82287
100471   82287
100480   82286
100494   82289
100502   82287
100521   82289
100535   82296
100550   82305
100568   82311
100567   82309
100524   82299
100425   82274
100324   82244
100248   82218
100220   82206
100206   82206
100195   82202
100209   82207
100220   82211
100241   82211
100249   82220
100264   82229
100268   82228
100268   82234
100252   82219
100234   82216
100215   82204
100209   82207
100206   82203
100220   82211
100236   82213
100255   82221
100274   82227
100285   82229
100295   82229
100309   82233
100316   82233
100321   82230
100326   82233
100332   82234
100337   82237
100340   82234
100353   82235
100361   82248
100369   82250
100379   82245
100397   82248
100415   82248
100434   82256
100449   82261
100467   82277
100495   82278
100491   82278
100439   82271
100334   82235
100241   82205
100171   82189
100148   82185
100127   82181
100147   82191
100168   82198
100198   82216
100217   82224
100229   82232
100242   82243
100256   82248
100246   82246
100237   82239
100212   82231
100200   82228
100191   82230
100204   82236
100205   82242
100222   82245
100237   82252
100261   82256
100280   82261
100291   82261
100307   82272
100305   82266
100311   82271
100323   82277
100332   82281
100341   82281
100346   82289
100358   82292
100367   82299
100382   82298
100394   82295
100407   82303
100424   82312
100441   82322
100459   82323
100487   82331
100496   82341
100459   82329
100242   82243
100256   82248
100266   82252
100196   82246
100164   82242
100152   82253
100158   82259
100185   82259
100201   82270
100225   82278
100243   82282
100254   82293
100273   82293
100280   82288
100268   82289
100239   82274
100232   82272
100230   82273
100233   82281
100248   82284
100272   82299
100297   82303
100326   82308
100344   82318
100367   82315
100369   82321
100381   82321
100392   82324
100405   82332
100413   82335
100426   82336
100433   82340
100442   82344
100440   82343
100461   82347
100473   82343
100482   82349
100500   82346
100516   82357
100523   82360
100542   82373
100561   82383
100585   82383
100581   82385
100519   82370
100415   82337
100320   82316
100261   82297
100247   82298
100245   82298
100272   82311
100302   82325
100330   82341
100337   82343
100354   82349
100357   82341
100360   82343
100326   82329
100302   82323
100270   82314
100261   82306
100257   82313
100262   82314
100283   82322
100321   82340
100340   82349
100358   82357
100377   82366
100390   82373
100406   82378
100410   82379
100423   82376
100425   82382
100431   82386
100440   82395
100447   82396
100458   82394
100472   82390
100485   82397
100500   82406
100512   82410
100534   82420
100557   82421
100577   82430
100602   82436
100600   82443
100548   82425
100439   82407
100356   82381
100304   82368
100279   82362
100281   82359
100289   82357
100310   82367
100331   82372
100347   82383
100363   82390
100391   82386
100406   82386
100398   82394
100390   82396
100370   82396
100358   82385
100352   82393
100360   82395
100374   82392
100394   82398
100416   82409
100431   82408
100445   82411
100459   82423
100477   82433
100501   82431
100516   82439
100530   82448
100538   82450
100551   82452
100556   82453
100572   82459
100576   82457
100579   82454
100598   82462
100617   82475
100627   82474
100648   82479
100670   82483
100699   82498
100728   82507
100731   82503
100650   82485
100540   82458
100446   82429
100402   82411
100382   82406
100389   82408
100404   82414
100427   82432
100454   82434
100478   82443
100508   82443
100539   82449
100542   82465
100534   82462
100519   82462
100508   82462
100495   82460
100491   82459
100495   82456
100514   82467
100533   82472
100552   82478
100566   82480
100583   82491
100597   82498
100622   82509
100646   82519
100652   82517
100666   82520
100663   82529
100674   82531
100690   82518
100686   82515
100697   82522
100711   82526
100721   82530
100739   82536
100756   82543
100783   82548
100427   82432
100454   82434
100808   82545
100757   82522
100646   82490
100557   82468
100500   82462
100473   82462
100469   82460
100491   82468
100512   82478
100544   82489
100567   82493
100590   82498
100611   82501
100633   82511
100627   82510
100604   82506
100587   82495
100577   82498
100573   82495
100583   82497
100596   82495
100618   82509
100643   82517
100652   82522
100674   82531
100695   82533
100711   82542
100735   82544
100751   82551
100762   82555
100771   82562
100774   82563
100790   82565
100795   82559
100806   82553
100826   82568
100841   82575
100859   82581
100868   82585
100890   82587
100914   82597
100927   82598
100917   82597
100834   82570
100722   82544
100634   82514
100588   82499
100581   82496
100589   82500
100608   82506
100626   82510
100655   82526
100670   82525
100685   82524
100705   82525
100719   82518
100690   82521
100669   82516
100649   82502
100628   82505
100629   82505
100633   82501
100646   82506
100665   82516
100683   82517
100705   82526
100721   82537
100741   82543
100762   82549
100778   82554
100790   82560
100806   82566
100803   82565
100803   82564
100812   82564
100817   82558
100822   82553
100825   82555
100847   82576
100868   82578
100888   82583
100901   82593
100880   82588
100808   82571
100710   82545
100640   82524
100589   82505
100573   82503
100582   82514
100598   82516
100630   82522
100655   82533
100682   82549
100705   82561
100723   82567
100729   82571
100711   82555
100684   82542
100660   82542
100661   82540
100663   82540
100671   82546
100687   82553
100712   82561
100730   82558
100752   82567
100774   82571
100784   82583
100794   82581
100801   82586
100812   82588
100822   82589
100832   82590
100843   82589
100848   82601
100853   82599
100865   82594
100868   82596
