ired     red
80910   73079
80433   73921
85325   76614
85475   76656
85623   76702
85761   76749
85852   76779
85924   76807
86001   76823
86068   76845
86108   76852
86132   76858
86175   76862
86226   76875
86274   76883
86263   76879
86077   76807
85688   76652
85161   76462
84659   76285
84300   76152
84116   76085
84078   76073
84147   76098
84239   76122
84354   76161
84496   76202
84603   76245
84677   76269
84716   76283
84733   76285
84721   76283
84694   76267
84674   76259
84660   76252
84675   76255
84732   76277
84783   76294
84831   76310
84856   76316
84936   76341
85038   76374
85152   76417
85278   76464
85386   76503
85458   76523
85489   76521
85436   76487
85288   76422
84957   76312
84508   76153
84013   75967
83606   75833
83375   75746
83278   75705
83228   75689
83244   75678
83272   75684
83316   75704
83348   75709
83376   75719
83417   75721
83474   75741
83534   75764
83602   75802
83637   75826
83639   75821
83615   75810
83585   75802
83565   75792
83588   75800
83646   75829
83731   75856
83784   75883
83816   75891
83822   75899
83845   75889
83894   75910
83969   75934
84046   75966
84111   75989
84128   75982
83992   75925
83665   75798
83232   75641
82814   75488
82515   75374
82395   75324
82427   75328
82554   75370
82734   75431
82931   75508
83138   75591
83345   75665
83498   75727
83549   75740
83544   75734
83487   75709
83442   75677
83445   75683
83503   75712
83599   75749
83694   75777
83754   75799
83829   75825
83910   75852
83992   75883
84076   75914
84163   75943
84250   75968
84385   76011
84529   76069
84654   76113
84720   76135
84629   76100
84343   75988
83936   75836
83529   75682
83273   75593
83202   75569
83290   75595
83451   75656
83639   75732
83858   75808
84074   75897
84265   75961
84384   76003
84441   76023
84455   76030
84442   76024
84432   76018
84438   76022
84477   76038
84540   76050
84626   76089
84730   76129
84830   76169
84934   76196
85015   76224
85087   76245
85160   76271
85217   76291
85274   76311
85340   76332
85385   76343
85281   76305
84964   76190
84470   76007
83931   75815
83514   75669
83311   75591
83287   75594
83384   75625
83527   75663
83703   75736
83886   75803
84060   75865
84265   75961
84246   75930
84242   76023
84455   76030
84190   75875
84110   75861
84074   75869
84062   75870
84103   75889
84158   75889
84233   75922
84333   75955
84426   75998
84521   76022
84594   76048
84669   76074
84754   76102
84843   76130
84950   76166
85008   76190
84957   76172
84675   76063
84184   75881
83606   75676
83136   75504
82863   75397
82796   75369
82861   75395
83010   75452
83187   75522
83384   75593
83562   75653
83721   75716
83845   75764
83894   75786
83877   75772
83837   75759
83806   75744
83789   75739
83823   75753
83900   75781
83993   75819
84100   75860
84213   75893
84336   75947
84450   75986
84559   76025
84659   76057
84781   76103
84884   76139
84975   76177
84983   76176
84774   76096
84334   75922
83726   75713
83158   75516
82799   75374
82670   75327
82715   75334
82854   75378
83016   75445
83189   75510
83385   75581
83554   75643
83687   75692
83760   75719
83782   75730
83769   75724
83740   75711
83724   75708
83753   75723
83818   75743
83906   75773
84013   75814
84130   75850
84240   75894
84343   75940
84444   75969
84547   76001
84653   76033
84742   76066
84825   76101
84914   76131
85003   76163
84997   76157
84782   76077
84325   75912
83760   75700
83236   75509
82948   75402
82905   75387
83023   75434
83212   75504
83425   75588
83620   75654
83814   75720
83955   75782
84043   75804
84055   75815
84020   75797
83940   75762
83875   75745
83845   75734
83865   75746
83916   75769
84004   75796
84086   75822
84178   75851
84275   75889
84370   75918
84439   75944
